county,year,month,temperature,mu,sigma,norm_loss,quantile_score
Los Angeles,2021,2,11.796214269627171,10.686930869940932,1.7088842513415998,-1.6654623242167164,0.3418010609764912
Los Angeles,2021,3,11.42546891745468,12.45728900203913,1.6489556247597938,-1.6148569234101913,0.32056457488219453
Los Angeles,2021,4,16.203830947994845,14.592046610198338,1.59445173767149,-1.8963981274290342,0.4910759853088689
Los Angeles,2021,5,18.31698935967603,17.421595525125156,1.6856288086359987,-1.5821600865713432,0.29250972830024635
Los Angeles,2021,6,23.223466333250823,20.844449880814956,1.504337737006309,-2.577763935926604,0.8097196940075905
Los Angeles,2021,7,25.57743042339393,23.690596665002772,1.2069305420249605,-2.329023202243437,0.63981606797341
Los Angeles,2021,8,24.81530958009085,24.00541899992215,1.013214667897557,-1.2515290587664485,0.24344572227914893
Los Angeles,2021,9,22.78559870290212,22.163723441476584,1.0435593856616554,-1.1391347004522936,0.19566301388419302
Los Angeles,2021,10,16.93266321459896,18.006139352707777,1.4665633260869289,-1.5697482578768285,0.3246307616601819
Los Angeles,2021,11,15.80056770198621,13.40875347385547,1.5479782164756877,-2.5495882657938145,0.8080911691376973
Los Angeles,2021,12,9.535495374673928,9.654085170117241,1.099824188118253,-1.0199021093440401,0.13233367860090695
Merced,2021,1,10.31936548288843,9.426245002256445,1.1212978904574962,-1.3506362703610297,0.2685040925790068
Merced,2021,2,11.654070874353351,11.191126868847975,1.201955655742778,-1.1770621936725925,0.1772656363567887
Merced,2021,3,12.626959067205576,13.59319826736056,1.5097701058457356,-1.5356901309309885,0.29861295628580076
Merced,2021,4,17.360601296423454,16.341223447294745,1.5251919556932432,-1.564411595333112,0.3123194560763842
Merced,2021,5,21.113949209001703,20.066238171362063,1.8988835731062905,-1.7124192735626387,0.3375997393910468
Merced,2021,6,25.667210114688714,23.753409883860762,1.4322959773389072,-2.170901092584852,0.6192866251693538
Merced,2021,7,28.33364728406036,26.446308965494897,1.2870936731180904,-2.2464261008600412,0.6274795360403166
Merced,2021,8,26.813096613600464,25.667932964178114,1.0574211903439144,-1.5611920699416497,0.3527723796295117
Merced,2021,9,24.384252122499102,23.324596582384142,0.9449081434321209,-1.4910821427928294,0.32863471026885716
Merced,2021,10,17.822873352193994,18.498347224264336,1.2667048943079326,-1.2975367397969428,0.2203535535029014
Merced,2021,11,13.816422736940469,12.88058553484262,1.2190074665201378,-1.4116604097797458,0.28184944372046117
