county,year,month,temperature,simulated_temperature,mu,sigma,simulation_number,hist_temp_avg
Stanislaus,2022,4,16.678622865329316,33.511053948382965,13.567265,3.01199,5.0,15.731864412369063
Stanislaus,2022,5,20.50352461236713,36.45775664585065,19.000881,1.4435167,5.0,19.603309643030446
Stanislaus,2022,6,25.333364328257577,41.32369900216108,14.334692,6.302145,5.0,23.308756408365365
Stanislaus,2022,7,26.33389008043423,57.74924533927491,27.06627,3.2981834,5.0,25.736526216489562
Stanislaus,2022,8,26.898889419211,48.995195287738454,22.120796,3.6150298,5.0,24.96874689986163
Stanislaus,2022,9,25.224825543076804,43.66016210167403,19.43177,3.9797964,5.0,22.835238764975443
Stanislaus,2022,10,19.366241921231165,34.929400581726625,23.494955,3.841621,5.0,18.108411774579817
Stanislaus,2022,11,10.111140951800962,20.85466653826893,13.066745,7.1649566,5.0,12.543532315879684
Stanislaus,2022,12,8.462851174013167,16.1397622524143,8.183644,0.5912481,5.0,9.033114738043796
Stanislaus,2022,1,9.473778449907796,,,,,
Stanislaus,2022,2,10.941286632941228,,,,,
Stanislaus,2022,3,14.84975094149894,,,,,
Stanislaus,2022,4,16.678622865329316,35.80510949302152,13.567265,3.01199,6.0,15.731864412369063
Stanislaus,2022,5,20.50352461236713,36.53506205619685,19.000881,1.4435167,6.0,19.603309643030446
Stanislaus,2022,6,25.333364328257577,39.47441096204717,14.334692,6.302145,6.0,23.308756408365365
Stanislaus,2022,7,26.33389008043423,48.18812700160872,27.06627,3.2981834,6.0,25.736526216489562
Stanislaus,2022,8,26.898889419211,45.00498248513958,22.120796,3.6150298,6.0,24.96874689986163
Stanislaus,2022,9,25.224825543076804,41.873609092014874,19.43177,3.9797964,6.0,22.835238764975443
Stanislaus,2022,10,19.366241921231165,37.421311250595394,23.494955,3.841621,6.0,18.108411774579817
Stanislaus,2022,11,10.111140951800962,11.777598491453514,13.066745,7.1649566,6.0,12.543532315879684
Stanislaus,2022,12,8.462851174013167,17.712057856226657,8.183644,0.5912481,6.0,9.033114738043796
Stanislaus,2022,1,9.473778449907796,,,,,
Stanislaus,2022,2,10.941286632941228,,,,,
Stanislaus,2022,3,14.84975094149894,,,,,
Stanislaus,2022,4,16.678622865329316,26.474275838369316,13.567265,3.01199,7.0,15.731864412369063
Stanislaus,2022,5,20.50352461236713,39.43594138515532,19.000881,1.4435167,7.0,19.603309643030446
Stanislaus,2022,6,25.333364328257577,36.28248924156345,14.334692,6.302145,7.0,23.308756408365365
Stanislaus,2022,7,26.33389008043423,49.94854945302201,27.06627,3.2981834,7.0,25.736526216489562
Stanislaus,2022,8,26.898889419211,45.46134130126316,22.120796,3.6150298,7.0,24.96874689986163
Stanislaus,2022,9,25.224825543076804,41.39060660276132,19.43177,3.9797964,7.0,22.835238764975443
Stanislaus,2022,10,19.366241921231165,40.759958829815204,23.494955,3.841621,7.0,18.108411774579817
Stanislaus,2022,11,10.111140951800962,31.4147748326869,13.066745,7.1649566,7.0,12.543532315879684
Stanislaus,2022,12,8.462851174013167,18.169805264836643,8.183644,0.5912481,7.0,9.033114738043796
Stanislaus,2022,1,9.473778449907796,,,,,
Stanislaus,2022,2,10.941286632941228,,,,,
Stanislaus,2022,3,14.84975094149894,,,,,
Stanislaus,2022,4,16.678622865329316,27.050852890355735,13.567265,3.01199,8.0,15.731864412369063
Stanislaus,2022,5,20.50352461236713,38.45611639582775,19.000881,1.4435167,8.0,19.603309643030446
Stanislaus,2022,6,25.333364328257577,41.88095096636884,14.334692,6.302145,8.0,23.308756408365365
